nume,oras,lat,long
Spitalul Clinic de Obstetrică-Ginecologie „Cuza Vodă” Iași,Iași,47.1631043,27.5867485
"Spitalul Clinic Județean de Urgențe ""Sf. Spiridon""",Iași,47.1687878,27.5826783
Spitalul Clinic de Pneumoftiziologie Iași,Iași,47.1696,27.5846717
Spitalul Clinic Militar de Urgență „Dr. I. Czihac”,Iași,47.1729166,27.5756489
Spitalul Clinic de Recuperare Iasi,Iași,47.1490388,27.5739029
Spitalul de Urgență,Petroșani,45.4076282,23.3762043
Spitalul Clinic de Boli Infecțioase “Sfânta Parascheva”,Iași,47.1703752,27.5843863
DentiRAD,Plopeni,45.045554,25.9525851
Spitalul de Neurologie și Psihiatrie Carol Davila,Alba Iulia,46.0693033,23.5692587
Dispensarul uman Vașcău,Vașcău,46.4759331,22.4723816
Arcadia Hospital,Iași,47.1580723,27.5619353
Spitalul Tractorul,Brașov,45.6654548,25.6079899
Dispensarul medical Părău,Părău,45.848774,25.1919682
Spitalul Clinic de Pneumoftiziologie Brașov - Pavilionul I,Brașov,45.6430099,25.5738039
Spitalul clinic de ginecologie Dr. Ioan Aurel Sbârcea - Brașov,Brașov,45.6408175,25.5848056
"Spitalul Municipal ""Dr. Aurel Tulbure"" Făgăraș",Făgăraș,45.8408117,24.9582943
Spitalul Clinic de Boli Infecțioase,Cluj-Napoca,46.7607115,23.5837426
Spitalul Clinic Nicolae Malaxa,București,44.4382607,26.1788052
Spitalul Clinic de Ortopedie,Cluj-Napoca,46.7711044,23.6050673
Spitalul Clinic de Urgență pentru Copii Cluj-Napoca,Cluj-Napoca,46.7665576,23.5781236
Spitalul Militar,Cluj-Napoca,46.7692441,23.6028826
Spitalul Clinic Colentina,București,44.4538871,26.1135237
Spitalul MedLife Brașov,Brașov,45.6650403,25.6126414
"Spitalul Clinic de Urgență Militar ""Dr. Ștefan Odobleja""",Craiova,44.301531,23.818022
Spitalul Clinic de Boli Infecțioase și Pneumoftiziologie Dr. Victor Babeș,Craiova,44.3134925,23.8246901
Spitalul CFR,Craiova,44.314166,23.7940743
Spitalul Euroclinic - Regina Maria,București,44.4545229,26.1010831
Secția de boli infecțioase,Hunedoara,45.7488784,22.9087757
"Secția Oto-Rino-Laringologie, Secția Recuperare, Medicină Fizică și Balneologie",Miercurea Ciuc,46.3550699,25.8044905
Policlinica,Gherla,47.0248929,23.9033298
Spitalul de copii,Gherla,47.0284732,23.9065699
Centrul de Permanență Medfam Astra Grup Brașov,Brașov,45.6450576,25.6280195
Spitalul BalneoMedCenter,Râmnicu Vâlcea,45.0818594,24.3673329
Spitalul Municipal Gherla,Gherla,47.0242928,23.9047575
Policlinica Sănătatea,Timișoara,45.7513348,21.2514168
Spitalul Sfântul Constantin,Brașov,45.6509555,25.60649
Pavilionul III,Brașov,45.6444713,25.5738498
Pavilionul VI,Brașov,45.6443917,25.5758716
Pavilionul II,Brașov,45.6436414,25.5731142
Pavilionul V,Brașov,45.644676,25.5759996
Spitalul Clinic Căi Ferate,Cluj-Napoca,46.7657708,23.5869853
Spitalul Mavromati,Botoșani,47.7410349,26.6610334
Affidea,Cluj-Napoca,46.75772,23.5941366
Spitalul Clinic de Urgențe Oftalmologice,București,44.4458848,26.1001868
Pavilion II,Brezoi,45.3427616,24.2453566
ProfDIAGNOSIS,Urziceni,44.711134,26.638006
Smile Dental Spa,București,44.408963,26.0950881
Spital de ortopedie si traumatologie Azuga,Azuga,45.4265631,25.5543775
Spitalul Clinic de Neuropsihiatrie,Craiova,44.3176558,23.8163887
Spitalul Clinic Nr.2 Filantropia,Craiova,44.3220257,23.791897
Clinica de Pediatrie,Craiova,44.302797,23.8013596
"Spitalul Clinic de Pneumoftiziologie, Pavilion IV adulți",Brașov,45.6458376,25.5771093
Spitalul Județean Sălaj,Zalău,47.1928425,23.0511013
Armonia Hospital,Constanța,44.1823183,28.6512963
Spitalul Municipal Curtea de Argeș,Curtea de Argeș,45.1490935,24.6787793
Spitalul Calafat - Secția exterioara TBC Pneumologie,Poiana Mare,43.9127153,23.0997599
Spitalul Clinic Municipal,Arad,46.179479,21.3146995
Spitalul Orășenesc Segarcea,Segarcea,44.0995179,23.7429713
Dispensarul TBC,Arad,46.1903274,21.3103144
Spitalul de Pneumoftiziologie,Botoșani,47.7344591,26.6639843
Spitalul de Psihiatrie,Botoșani,47.7338683,26.6907079
Spitalul de Recuperare Sfântul Gheorghe,Botoșani,47.7530063,26.6363407
